Title,Description,Tags
🎯 Components and Patterns,Quadrant,quadrant
🎯 Data and Logic,Quadrant,quadrant
🎯 Pages and Layouts,Quadrant,quadrant
🎯 Setup and Deployment,Quadrant,quadrant
Accessibility testing basics,"Working | Components and Patterns

What is this skill?:

Accessibility testing basics involves using built-in browser tools and simple checks to ensure your prototype can be used by people with disabilities. This includes checking keyboard navigation, colour contrast, and screen reader compatibility.

Why is it important?:

• Legal requirement – Public sector services must meet WCAG 2.1 AA standards

• Inclusive design – Prototypes should represent accessible final products

• Early problem detection – Catch accessibility issues before development

• User research validity – Ensure all participants can use your prototype

Where to learn more:

• GOV.UK Service Manual: Testing for accessibility

• WebAIM: Quick reference guide

• WAVE accessibility checker

• axe DevTools browser extension","working,components-and-patterns,no-change"
Accordions,"Working | Components and Patterns

What is this skill?:

Accordions allow users to show and hide sections of content on a page. Understanding when to use them and how to implement them accessibly is important for organising long pages.

Why is it important?:

• Content organisation – Break up long pages into manageable sections

• Progressive disclosure – Let users see only what they need

• Accessibility – Must be keyboard navigable and screen reader friendly

• Appropriate use – Accordions aren't always the right solution

Where to learn more:

• GOV.UK Design System: Accordion

• NHS Design System: Expander

• Nielsen Norman: Accordions","working,components-and-patterns,no-change"
Add delays,"Working | Pages and Layouts

What is this skill?:

Adding delays involves simulating system processing time in your prototype, such as loading spinners or ""please wait"" pages. This helps test user expectations and design appropriate feedback for slow operations.

Why is it important?:

• Realistic expectations – Real services have processing time; test user patience

• Loading states – Design appropriate feedback for operations that take time

• User research insights – Understand how users react to waiting

• Anxiety reduction – Test whether your loading patterns reassure users

Where to learn more:

• GOV.UK Prototype Kit: Create routes

• GOV.UK Design System: Patterns","working,pages-and-layouts,no-change"
Add utilities,"Practitioner | Setup and Deployment

What is this skill?:

Adding utilities involves using helper classes and functions to extend your prototype's functionality. This includes GOV.UK Frontend utility classes for spacing, typography, and layout, as well as creating your own helper functions.

Why is it important?:

• Rapid styling – Apply consistent spacing and typography without writing custom CSS

• Design system compliance – Utility classes ensure you follow GOV.UK or NHS design standards

• Cleaner code – Reusable utilities reduce duplication across your prototype

• Faster prototyping – Spend less time on repetitive styling tasks

Where to learn more:

• GOV.UK Design System: Spacing

• GOV.UK Design System: Typography","practitioner,setup-and-deployment,no-change"
Advanced Git,"Expert | Setup and Deployment

What is this skill?:

Advanced Git involves using branches to work on features separately, merging changes, resolving conflicts, and using Git history to understand or revert changes in your prototype.

Why is it important?:

• Safe experimentation – Test ideas in branches without affecting the main prototype

• Team collaboration – Multiple people can work on different features simultaneously

• Version management – Maintain different versions for different research rounds

• Recovery – Revert problematic changes without losing other work

Where to learn more:

• GitHub: Git branching

• Atlassian: Git branching tutorial","expert,setup-and-deployment,no-change"
Archiving old versions,"Expert | Setup and Deployment

What is this skill?:

Archiving old versions involves properly storing and documenting past prototype iterations so they can be referenced or restored later. This includes tagging releases, creating branches, and maintaining documentation of what each version contains.

Why is it important?:

• Audit trail – Know what was tested in each research round

• Stakeholder requests – Quickly retrieve specific past versions

• Learning from history – Review how designs evolved over time

• Compliance – Some projects require version history for governance

Where to learn more:

• Git tagging

• GitHub releases

• Semantic versioning","expert,setup-and-deployment,no-change"
Assets folder,"Working | Setup and Deployment

What is this skill?:

The assets folder is where you store images, custom JavaScript files, and stylesheets for your prototype. Understanding how to organise and reference these files correctly ensures your prototype looks and functions as intended.

Why is it important?:

• Visual fidelity – Add images, icons, and logos to make prototypes more realistic

• Custom styling – Include your own CSS to extend or override default styles

• Interactive elements – Add JavaScript for enhanced user interactions

• Organised codebase – Proper asset management keeps your prototype maintainable

Where to learn more:

• GOV.UK Prototype Kit: Adding CSS, JavaScript and images

• NHS digital service manual: Design system","working,setup-and-deployment,no-change"
Autocomplete component,"Practitioner | Components and Patterns

What is this skill?:

The autocomplete component (also called typeahead or accessible autocomplete) helps users select from a long list of options by filtering as they type. Essential for country selectors, address lookups, or any large list.

Why is it important?:

• User experience – Faster than scrolling through hundreds of options

• Accessibility – The GOV.UK component is built to be screen reader friendly

• Error reduction – Helps users find and select the correct option

• Mobile friendly – Works better than long dropdowns on small screens

Where to learn more:

• GOV.UK Design System: Accessible autocomplete

• Accessible autocomplete GitHub

• GOV.UK country picker example","practitioner,components-and-patterns,no-change"
Backing up prototypes,"Practitioner | Setup and Deployment

What is this skill?:

Backing up prototypes involves creating copies of your work at key milestones, typically using Git commits, branches, or zip archives. This protects against accidental changes and allows you to return to previous versions.

Why is it important?:

• Safety net – Recover from accidental deletions or breaking changes

• Version history – Return to any previous state of your prototype

• Research rounds – Maintain snapshots for different user research sessions

• Collaboration – Share specific versions with team members

Where to learn more:

• GitHub: Creating commits

• GOV.UK Prototype Kit: Version control

• Git basics: Recording changes","practitioner,setup-and-deployment,no-change"
Basic component options,"Working | Components and Patterns

What is this skill?:

Basic component options involves passing simple parameters like text, IDs, and labels to GOV.UK Frontend macros to configure how components appear and behave.

Why is it important?:

• Customisation – Adapt components to your specific needs

• Correct labelling – Ensure form fields have proper labels for accessibility

• Unique IDs – Prevent conflicts when using multiple instances

• Foundation – Basic options are the first step to mastering macros

Where to learn more:

• GOV.UK Design System: Component options

• GOV.UK Frontend: Component API","working,components-and-patterns,no-change"
Basic 'if' statements,"Working | Data and Logic

What is this skill?:

Basic 'if' statements in Nunjucks allow you to show or hide content based on conditions, such as whether a user has entered certain data or selected a specific option.

Why is it important?:

• Dynamic content – Show different content based on user input

• Conditional visibility – Hide sections that aren't relevant to the user

• Error handling – Display error messages only when validation fails

• Personalisation – Tailor the experience based on previous answers

Where to learn more:

• Nunjucks: If statement

• GOV.UK Prototype Kit: Show different pages","working,data-and-logic,no-change"
Basic math in Nunjucks,"Working | Data and Logic

What is this skill?:

Basic math in Nunjucks involves performing simple calculations like addition, subtraction, and multiplication directly in your templates to display computed values.

Why is it important?:

• Dynamic calculations – Show totals, counts, or computed values

• Progress indicators – Calculate completion percentages

• Date manipulation – Add or subtract days for deadline calculations

• Simple logic – Avoid needing routes for basic arithmetic

Where to learn more:

• Nunjucks: Math operations

• Nunjucks: Built-in filters","working,data-and-logic,no-change"
Basic page layouts,"Working | Components and Patterns

What is this skill?:

Basic page layouts involves using the GOV.UK grid system with rows and columns to structure content on your pages, ensuring consistent spacing and responsive behaviour.

Why is it important?:

• Responsive design – Layouts adapt to different screen sizes

• Consistency – Match the standard GOV.UK page structure

• Content hierarchy – Organise information logically

• Two-thirds pattern – Use the standard content width for readability

Where to learn more:

• GOV.UK Design System: Layout

• GOV.UK Design System: Grid system","working,components-and-patterns,no-change"
Basic page titles,"Working | Pages and Layouts

What is this skill?:

Setting basic page titles involves configuring the text that appears in browser tabs and is read by screen readers. This is essential for accessibility and helps users understand where they are.

Why is it important?:

• Accessibility – Screen readers announce page titles to help users navigate

• User orientation – Helps users know which tab contains your prototype

• SEO basics – Good practice that carries over to production development

• Professional quality – Proper titles show attention to detail

Where to learn more:

• GOV.UK Design System: Page template

• W3C: Page titles","working,pages-and-layouts,no-change"
Branding,"Practitioner | Pages and Layouts

What is this skill?:

Branding involves applying service-specific headers, logos, and banners to your prototype to match your organisation's identity or test different visual approaches.

Why is it important?:

• Realistic testing – Branded prototypes feel more authentic to users

• Stakeholder buy-in – Helps decision makers visualise the final service

• Service identity – Test how branding affects user perception

• Multi-organisation services – Handle joint services or departmental branding

Where to learn more:

• GOV.UK Design System: Header

• NHS digital service manual: Header","practitioner,pages-and-layouts,no-change"
Building complex macros,"Expert | Components and Patterns

What is this skill?:

Building complex macros involves creating sophisticated Nunjucks components with nested logic, multiple parameters, default values, and conditional rendering based on the options passed in.

Why is it important?:

• Flexibility – Create components that adapt to many different use cases

• Production-like quality – Build macros that match GOV.UK Frontend standards

• Reduced duplication – Handle variations within a single macro

• Team efficiency – Provide powerful tools for less experienced team members

Where to learn more:

• Nunjucks: Macro

• GOV.UK Frontend: Component examples","expert,components-and-patterns,no-change"
Building wizard patterns,"Expert | Pages and Layouts

What is this skill?:

Building wizard patterns involves creating advanced multi-step interactions with branching logic, progress indicators, and the ability to go back and change answers.

Why is it important?:

• Complex transactions – Handle services that require many steps

• User guidance – Help users understand their progress

• Change answers – Allow users to review and edit their responses

• Task list integration – Combine with task list patterns for longer services

Where to learn more:

• GOV.UK Design System: Task list page

• GOV.UK Design System: Check answers","expert,pages-and-layouts,no-change"
